attack_id,attack_type,start_ts,end_ts
A1762404194_6866,uds_replay_gear,1762404194.907,1762404195.907
A1762404208_9832,replay_steering,1762404208.115,1762404211.115
A1762404216_7321,fuzz_door,1762404216.084,1762404219.084
A1762404224_3678,replay_door_close,1762404224.437,1762404226.437
A1762404242_9835,uds_replay_brake,1762404242.995,1762404244.995
A1762404254_4452,uds_replay_steer,1762404254.418,1762404257.418
A1762404267_9510,uds_replay_door,1762404267.971,1762404268.971
A1762404274_5841,uds_replay_door,1762404274.200,1762404275.200
A1762404280_1212,uds_replay_steer,1762404280.397,1762404283.397
A1762404317_38,uds_replay_brake,1762404317.016,1762404318.016
A1762405031_2427,uds_replay_throttle,1762405031.128,1762405032.128
A1762405037_2532,uds_replay_door,1762405037.349,1762405039.349
A1762405045_5350,replay_door_close,1762405045.727,1762405048.727
A1762405083_6203,fuzz_door,1762405083.063,1762405086.063
A1762405071_8821,fuzz_steering,1762405071.776,1762405073.776
A1762405105_857,replay_door_close,1762405105.157,1762405106.157
A1762405111_5347,dos_vcan0,1762405111.166,1762405113.166
A1762405094_7522,fuzz_throttle,1762405094.616,1762405096.616
A1762405105_2447,fuzz_steering,1762405105.064,1762405108.064
A1762405114_2543,fuzz_steering,1762405114.725,1762405116.725
A1762405125_6061,uds_uds_fuzz_combo,1762405125.150,1762405127.150
A1762405132_8262,replay_steering,1762405132.038,1762405135.038
A1762405139_6458,fuzz_steering,1762405139.842,1762405142.842
A1762405151_8727,uds_replay_throttle,1762405151.055,1762405154.055
A1762405164_5659,replay_door_open,1762405164.599,1762405165.599
A1762405175_2376,replay_door_close,1762405175.133,1762405178.133
A1762405208_5982,uds_replay_gear,1762405208.359,1762405211.359
A1762405475_774,replay_door_open,1762405475.896,1762405477.896
A1762405483_6949,replay_door_open,1762405483.063,1762405486.063
A1762405518_7557,uds_replay_gear,1762405518.860,1762405519.860
A1762405528_8444,replay_steering,1762405528.370,1762405529.370
A1762405558_9853,dos_vcan0,1762405558.822,1762405561.822
A1762405573_7331,uds_replay_gear,1762405573.946,1762405576.946
A1762405586_7626,fuzz_door,1762405586.528,1762405589.528
A1762405594_2668,uds_replay_door,1762405594.592,1762405597.592
A1762405603_2270,dos_kcan4,1762405603.096,1762405604.096
A1762405611_2286,replay_steering,1762405611.600,1762405612.600
A1762405617_7525,uds_uds_fuzz_combo,1762405617.118,1762405618.118
A1762405624_416,replay_door_open,1762405624.086,1762405627.086
A1762405632_8855,replay_door_close,1762405632.052,1762405634.052
A1762405642_5244,replay_door_close,1762405642.645,1762405643.645
A1762405648_3321,replay_throttle,1762405648.157,1762405650.157
A1762405654_4494,replay_door_open,1762405654.674,1762405657.674
A1762405662_6211,fuzz_door,1762405662.006,1762405665.006
A1762405694_7162,fuzz_door,1762405694.021,1762405695.021
A1762405709_2530,dos_kcan4,1762405709.159,1762405710.159
A1762405696_1385,replay_door_open,1762405696.720,1762405698.720
A1762405708_5070,replay_door_close,1762405708.139,1762405709.139
A1762405715_9865,fuzz_steering,1762405715.800,1762405718.800
A1762405727_7635,uds_uds_fuzz_combo,1762405727.169,1762405728.169
A1762405734_976,replay_door_close,1762405734.142,1762405735.142
A1762405742_9546,fuzz_steering,1762405742.107,1762405744.107
A1762405749_195,uds_replay_steer,1762405749.847,1762405750.847
A1762405761_2532,uds_uds_fuzz_combo,1762405761.043,1762405762.043
A1762405767_2028,dos_vcan0,1762405767.166,1762405768.166
A1762405778_814,uds_replay_brake,1762405778.131,1762405781.131
A1762405790_6248,uds_replay_brake,1762405790.636,1762405792.636
A1762405797_3083,dos_vcan0,1762405797.976,1762405799.976
A1762405806_278,uds_replay_throttle,1762405806.955,1762405808.955
A1762405813_8660,uds_replay_door,1762405813.149,1762405815.149
A1762405823_8750,replay_throttle,1762405823.501,1762405824.501
A1762405859_5184,uds_replay_steer,1762405859.404,1762405861.404
A1762405855_4148,fuzz_steering,1762405855.069,1762405857.069
A1762405865_9525,fuzz_steering,1762405865.121,1762405868.121
A1762405873_265,fuzz_steering,1762405873.101,1762405875.101
A1762405904_6931,uds_replay_throttle,1762405904.473,1762405906.473
A1762405924_4436,uds_replay_throttle,1762405924.545,1762405925.545
A1762405949_129,fuzz_steering,1762405924.211,1762405926.211
A1762405959_2209,replay_door_open,1762405959.503,1762405960.503
A1762405946_2821,uds_replay_gear,1762405946.066,1762405949.066
A1762405984_9944,fuzz_steering,1762405984.660,1762405986.660
A1762405970_4649,fuzz_door,1762405970.129,1762405973.129
A1762405978_8569,dos_kcan4,1762405978.127,1762405980.127
A1762405987_1815,replay_door_open,1762405987.245,1762405988.245
A1762405995_777,uds_replay_brake,1762405995.710,1762405996.710
A1762406003_6656,replay_throttle,1762406003.905,1762406005.905
A1762406013_2577,replay_steering,1762406013.249,1762406015.249
A1762406044_9429,uds_replay_door,1762406044.611,1762406047.611
A1762406069_9164,dos_kcan4,1762406069.680,1762406071.680
A1762406055_552,fuzz_steering,1762406055.231,1762406058.231
A1762406066_6090,fuzz_steering,1762406066.065,1762406068.065
A1762406076_2448,uds_replay_steer,1762406076.105,1762406077.105
A1762406109_5005,uds_replay_throttle,1762406109.706,1762406111.706
A1762406107_9168,replay_door_open,1762406107.375,1762406109.375
A1762406118_5474,uds_uds_fuzz_combo,1762406118.103,1762406119.103
A1762406128_3024,replay_steering,1762406128.099,1762406131.099
A1762407162_4890,uds_replay_door,1762407162.991,1762407163.991
A1762407170_312,replay_throttle,1762407170.152,1762407173.152
