timestamp,type,detail
1762626968.681332,ENTROPY,"[ENTROPY] fast anomaly H=1.86, μ=1.81, σ=0.05"
1762626969.696483,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.70, σ=0.23"
1762626972.5782468,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626973.1489916,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626973.7240314,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626974.617954,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626975.2490492,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626975.915202,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626976.4885385,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626977.0556178,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626977.6840644,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626978.2180412,ENTROPY,"[ENTROPY] fast anomaly H=1.92, μ=1.98, σ=0.01"
1762626978.8049035,ENTROPY,"[ENTROPY] fast anomaly H=1.73, μ=1.91, σ=0.09"
1762626989.732028,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.86, σ=0.09"
1762626990.2960768,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.87, σ=0.10"
1762626992.1611907,ENTROPY,"[ENTROPY] fast anomaly H=1.98, μ=1.98, σ=0.00"
1762626992.820257,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626993.6000457,ENTROPY,"[ENTROPY] fast anomaly H=1.67, μ=1.88, σ=0.10"
1762626994.749735,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.78, σ=0.08"
1762626995.399617,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.80, σ=0.11"
1762626996.0559893,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.84, σ=0.12"
1762626997.7123263,ENTROPY,"[ENTROPY] fast anomaly H=1.98, μ=1.98, σ=0.00"
1762626998.3105562,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626998.9344168,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762626999.731126,ENTROPY,"[ENTROPY] fast anomaly H=1.60, μ=1.89, σ=0.14"
1762627001.5352669,ENTROPY,"[ENTROPY] fast anomaly H=1.42, μ=1.57, σ=0.10"
1762627003.4470732,ENTROPY,"[ENTROPY] fast anomaly H=1.42, μ=1.58, σ=0.09"
1762627032.615893,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762627033.2721646,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762627033.9353814,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762627034.9290495,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762627035.5828404,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627036.2479074,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627036.921739,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627037.5032976,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627038.1326656,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627038.8014522,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627039.829839,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627040.5085585,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627042.8264165,ENTROPY,"[ENTROPY] fast anomaly H=1.98, μ=1.98, σ=0.00"
1762627043.4838898,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762627044.082236,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.00"
1762627044.6013389,ENTROPY,"[ENTROPY] fast anomaly H=1.96, μ=1.98, σ=0.01"
1762627045.2678485,ENTROPY,"[ENTROPY] fast anomaly H=1.82, μ=1.97, σ=0.09"
1762627045.8693929,ENTROPY,"[ENTROPY] fast anomaly H=2.10, μ=1.97, σ=0.11"
1762627046.408353,ENTROPY,"[ENTROPY] fast anomaly H=2.06, μ=1.99, σ=0.10"
1762627047.1103,ENTROPY,"[ENTROPY] fast anomaly H=2.06, μ=1.95, σ=0.12"
1762627047.7080886,ENTROPY,"[ENTROPY] fast anomaly H=2.00, μ=1.94, σ=0.12"
1762627048.2193415,ENTROPY,"[ENTROPY] fast anomaly H=1.78, μ=1.94, σ=0.12"
1762627048.7196476,ENTROPY,"[ENTROPY] fast anomaly H=2.10, μ=1.94, σ=0.11"
1762627051.9342396,ENTROPY,"[ENTROPY] fast anomaly H=1.98, μ=1.98, σ=0.01"
1762627052.5173464,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627053.0830324,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
1762627053.7272823,ENTROPY,"[ENTROPY] fast anomaly H=1.97, μ=1.98, σ=0.01"
