timestamp,type,detail
1762706067.651815,FSA,[FSA] Rule violation: Idle->Conflict
1762706067.658067,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.66742,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.674967,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.684125,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.690317,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.697253,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.704253,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.711007,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.717902,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706067.720728,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706067.731763,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.740309,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.751801,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.759413,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.767986,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.774936,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.78136,FSA,[FSA] Rule violation: Idle->Conflict
1762706067.790631,FSA,[FSA] Rule violation: Idle->Conflict
1762706067.799677,FSA,[FSA] Rule violation: Idle->Conflict
1762706067.808293,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.818055,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.824271,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.831883,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.837173,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.844411,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.852342,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.858914,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.865125,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.872438,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.88111,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.888575,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.895493,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.902538,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.908909,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.916439,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.922969,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.929405,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.936156,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.94262,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.950756,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.958066,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.965258,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.972444,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.97918,FSA,[FSA] Rule violation: Conflict->Conflict
1762706067.982014,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706067.986854,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706067.993325,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.001884,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.008221,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.014712,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.021757,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.028823,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.037558,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.044135,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.052501,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.059482,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.066161,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.073596,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.080184,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.086339,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.093579,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.102232,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.109047,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.115389,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.121675,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.128024,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.135783,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.142746,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.150315,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.156501,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.164723,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.1716,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.178458,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.186113,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.192249,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.202218,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.209294,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.216007,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.223416,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.231395,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.238102,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.241759,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706068.245329,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706068.254046,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.261238,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.269086,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.275291,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.28335,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.291018,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.298776,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.306057,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.31491,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.321953,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.328394,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.337483,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.351784,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.360861,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.370536,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.378322,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.386738,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.39363,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.402435,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.409704,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.415907,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.423008,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.430236,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.437394,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.444335,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.450717,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.457019,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.463737,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.470251,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.476115,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.481829,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.487539,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.494986,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.496292,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706068.504907,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706068.510747,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.521346,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.529649,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.540512,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.552645,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.565997,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.574668,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.588991,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.597398,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.605817,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.620766,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.636554,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.646598,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.6573,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.681753,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.698817,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.70637,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.715059,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.727375,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.73792,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.749388,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.754144,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706068.759369,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706068.769984,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.782258,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.792572,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.806538,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.827772,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.864654,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.881618,FSA,[FSA] Rule violation: Idle->Conflict
1762706068.910192,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.916867,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.919401,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.922204,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.929053,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.937316,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.94316,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.950073,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.956372,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.962644,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.970194,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.976819,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.984477,FSA,[FSA] Rule violation: Conflict->Conflict
1762706068.992729,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.001713,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.009124,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.018388,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706069.019349,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706069.033227,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.039715,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.052749,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.059604,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.074708,FSA,[FSA] Rule violation: Idle->Conflict
1762706069.090249,FSA,[FSA] Rule violation: Idle->Conflict
1762706069.101038,FSA,[FSA] Rule violation: Idle->Conflict
1762706069.116528,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.128953,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.142142,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.152686,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.160627,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.175351,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.187376,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.202086,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.21166,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.219689,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.226333,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.233211,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.23969,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.246825,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.255158,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.261996,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.270879,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.271323,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706069.279162,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706069.287146,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.295218,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.305471,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.315137,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.324461,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.334601,FSA,[FSA] Rule violation: Idle->Conflict
1762706069.343178,FSA,[FSA] Rule violation: Idle->Conflict
1762706069.35605,FSA,[FSA] Rule violation: Idle->Conflict
1762706069.361623,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.372408,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.421834,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.437548,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.477886,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.492545,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.505324,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.528976,FSA,[FSA] Rule violation: Conflict->BrakeHold
1762706069.538487,FSA,[FSA] Rule violation: BrakeHold->Conflict
1762706069.566843,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.579221,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.607403,FSA,[FSA] Rule violation: Conflict->Conflict
1762706069.621055,FSA,[FSA] Rule violation: Idle->Conflict
