timestamp,type,detail
1774016621.9192,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016621.932389,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016621.942294,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016621.952944,KL,[KL] distribution change detected: KL=2.007 > 2.0
1774016622.066409,KL,[KL] distribution change detected: KL=2.002 > 2.0
1774016622.074504,KL,[KL] distribution change detected: KL=2.009 > 2.0
1774016622.084196,KL,[KL] distribution change detected: KL=2.015 > 2.0
1774016622.091537,KL,[KL] distribution change detected: KL=2.022 > 2.0
1774016622.100163,KL,[KL] distribution change detected: KL=2.028 > 2.0
1774016622.107977,KL,[KL] distribution change detected: KL=2.035 > 2.0
1774016622.116123,KL,[KL] distribution change detected: KL=2.035 > 2.0
1774016622.123771,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016622.133043,KL,[KL] distribution change detected: KL=2.047 > 2.0
1774016622.141801,KL,[KL] distribution change detected: KL=2.053 > 2.0
1774016622.149989,KL,[KL] distribution change detected: KL=2.059 > 2.0
1774016622.151867,KL,[KL] distribution change detected: KL=2.064 > 2.0
1774016622.159417,KL,[KL] distribution change detected: KL=2.112 > 2.0
1774016622.167053,KL,[KL] distribution change detected: KL=2.155 > 2.0
1774016622.175395,KL,[KL] distribution change detected: KL=2.199 > 2.0
1774016622.185278,KL,[KL] distribution change detected: KL=2.199 > 2.0
1774016622.195171,KL,[KL] distribution change detected: KL=2.199 > 2.0
1774016622.203736,KL,[KL] distribution change detected: KL=2.204 > 2.0
1774016622.214924,KL,[KL] distribution change detected: KL=2.204 > 2.0
1774016622.224397,KL,[KL] distribution change detected: KL=2.199 > 2.0
1774016622.236094,KL,[KL] distribution change detected: KL=2.199 > 2.0
1774016622.238657,KL,[KL] distribution change detected: KL=2.155 > 2.0
1774016622.24826,KL,[KL] distribution change detected: KL=2.107 > 2.0
1774016622.248727,KL,[KL] distribution change detected: KL=2.112 > 2.0
1774016622.252038,KL,[KL] distribution change detected: KL=2.064 > 2.0
1774016622.258064,KL,[KL] distribution change detected: KL=2.064 > 2.0
1774016622.272322,KL,[KL] distribution change detected: KL=2.064 > 2.0
1774016622.282335,KL,[KL] distribution change detected: KL=2.064 > 2.0
1774016622.293424,KL,[KL] distribution change detected: KL=2.064 > 2.0
1774016631.156035,KL,[KL] distribution change detected: KL=2.015 > 2.0
1774016631.170353,KL,[KL] distribution change detected: KL=2.015 > 2.0
1774016631.184596,KL,[KL] distribution change detected: KL=2.007 > 2.0
1774016631.470132,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016631.485297,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016631.508494,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016631.52311,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016631.535323,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016631.714399,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016631.726866,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016631.735964,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016631.738279,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016631.747171,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016631.762161,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016631.773776,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016631.785663,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016631.797198,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016631.815027,KL,[KL] distribution change detected: KL=2.057 > 2.0
1774016631.817912,KL,[KL] distribution change detected: KL=2.007 > 2.0
1774016631.830021,KL,[KL] distribution change detected: KL=2.007 > 2.0
1774016632.025572,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016632.050396,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016632.064468,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016632.076224,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016632.08941,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016632.100433,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016632.11078,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016632.121503,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016632.321418,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016632.323169,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016632.332481,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016641.053614,KL,[KL] distribution change detected: KL=2.114 > 2.0
1774016641.080589,KL,[KL] distribution change detected: KL=2.120 > 2.0
1774016641.103364,KL,[KL] distribution change detected: KL=2.127 > 2.0
1774016641.11619,KL,[KL] distribution change detected: KL=2.073 > 2.0
1774016641.124703,KL,[KL] distribution change detected: KL=2.073 > 2.0
1774016641.131205,KL,[KL] distribution change detected: KL=2.019 > 2.0
1774016641.316929,KL,[KL] distribution change detected: KL=2.007 > 2.0
1774016641.334137,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016641.352093,KL,[KL] distribution change detected: KL=2.049 > 2.0
1774016641.364018,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016641.381728,KL,[KL] distribution change detected: KL=2.041 > 2.0
1774016641.398197,KL,[KL] distribution change detected: KL=2.033 > 2.0
1774016641.422322,KL,[KL] distribution change detected: KL=2.015 > 2.0
