attack_id,attack_type,start_ts,end_ts
A1762600395_1606,fuzz,1762600395.951,1762600400.951
A1762600413_8192,fuzz,1762600413.910,1762600414.910
A1762600421_2382,spoof,1762600421.977,1762600422.977
A1762600626_9921,spoof,1762600626.230,1762600628.230
A1762600635_2371,spoof,1762600635.356,1762600636.356
A1762600642_2413,spoof,1762600642.421,1762600644.421
A1762600658_4618,spoof,1762600658.532,1762600660.532
A1762600667_1125,spoof,1762600667.637,1762600670.637
A1762600686_2814,fuzz,1762600686.754,1762600689.754
A1762600701_6291,spoof,1762600701.884,1762600706.884
A1762600712_2251,fuzz,1762600712.545,1762600716.545
A1762600721_9634,fuzz,1762600721.368,1762600723.368
A1762600735_3566,spoof,1762600735.447,1762600740.447
A1762600759_267,spoof,1762600759.637,1762600761.637
A1762600779_5641,fuzz,1762600779.730,1762600780.730
A1762600799_9149,fuzz,1762600799.799,1762600804.799
A1762600810_6171,fuzz,1762600810.990,1762600815.990
A1762600828_8344,spoof,1762600828.157,1762600833.157
A1762600840_7032,fuzz,1762600840.314,1762600843.314
A1762600849_2476,spoof,1762600849.401,1762600852.401
A1762600859_2395,spoof,1762600859.544,1762600861.544
A1762600866_671,fuzz,1762600866.633,1762600869.633
A1762600876_6553,fuzz,1762600876.755,1762600881.755
A1762600895_2267,spoof,1762600895.808,1762600898.808
A1762600910_1289,spoof,1762600910.927,1762600912.927
A1762600927_1620,spoof,1762600927.024,1762600930.024
A1762600935_1362,spoof,1762600935.145,1762600936.145
A1762600948_987,spoof,1762600948.219,1762600953.219
A1762600960_9779,fuzz,1762600960.390,1762600965.390
A1762600974_3798,fuzz,1762600974.492,1762600979.492
A1762601010_1259,spoof,1762601010.113,1762601011.113
A1762601031_2042,fuzz,1762601031.346,1762601032.346
A1762601041_8293,spoof,1762601041.401,1762601042.401
A1762601058_2504,spoof,1762601058.460,1762601059.460
A1762601064_3632,spoof,1762601064.518,1762601069.518
A1762601080_4813,spoof,1762601080.621,1762601082.621
A1762601100_1745,fuzz,1762601100.698,1762601103.698
A1762601110_4626,spoof,1762601110.779,1762601111.779
A1762601129_4572,spoof,1762601129.834,1762601134.834
A1762601711_9183,spoof,1762601711.437,1762601716.437
A1762601726_6829,spoof,1762601726.489,1762601728.489
A1762601747_2953,spoof,1762601747.029,1762601749.029
A1762601766_911,fuzz,1762601766.549,1762601769.549
A1762601775_1800,spoof,1762601775.600,1762601780.600
A1762601789_3510,spoof,1762601789.591,1762601794.591
A1762603125_9588,spoof,1762603125.053,1762603129.053
A1762603141_2133,fuzz,1762603141.625,1762603142.625
A1762603158_711,fuzz,1762603158.013,1762603163.013
A1762603167_4458,spoof,1762603167.708,1762603168.708
A1762603175_2911,fuzz,1762603175.031,1762603177.031
A1762603213_2383,spoof,1762603213.203,1762603217.203
A1762603299_1285,fuzz,1762603299.486,1762603304.486
A1762603329_1922,spoof,1762603329.919,1762603334.919
A1762603342_8666,spoof,1762603342.027,1762603343.027
A1762603509_9663,spoof,1762603509.046,1762603512.046
A1762603517_6885,fuzz,1762603517.271,1762603522.271
A1762604083_2462,spoof,1762604083.118,1762604086.118
A1762604102_9332,fuzz,1762604102.020,1762604106.020
A1762604109_9071,fuzz,1762604109.266,1762604113.266
A1762604510_7644,fuzz,1762604510.583,1762604512.583
A1762604532_2154,spoof,1762604532.022,1762604533.022
A1762604539_9952,spoof,1762604539.911,1762604541.911
A1762605193_7168,spoof,1762605193.185,1762605195.185
A1762605191_4030,fuzz,1762605191.558,1762605195.558
A1762605200_3356,spoof,1762605200.050,1762605202.050
A1762605527_9217,spoof,1762605527.607,1762605532.607
A1762606172_7125,spoof,1762606172.674,1762606174.674
A1762606189_7913,spoof,1762606189.085,1762606190.085
A1762612525_1733,fuzz,1762612525.539,1762612527.539
A1762612542_1179,spoof,1762612542.470,1762612543.470
A1762612555_3411,fuzz,1762612555.116,1762612557.116
A1762615524_9241,fuzz,1762615524.190,1762615528.190
A1762615542_287,spoof,1762615542.962,1762615546.962
A1762615553_2323,fuzz,1762615553.018,1762615554.018
A1762616031_9785,spoof,1762616031.270,1762616036.270
A1762616049_9308,spoof,1762616049.037,1762616054.037
A1762616590_4640,fuzz,1762616590.140,1762616594.140
A1762616603_6905,fuzz,1762616603.742,1762616605.742
A1762616624_2596,spoof,1762616624.083,1762616626.083
A1762617971_1000,fuzz,1762617971.281,1762617973.281
A1762617978_5580,fuzz,1762617978.024,1762617982.024
A1762617998_2827,fuzz,1762617998.054,1762618003.054
A1762618290_1419,spoof,1762618290.976,1762618294.976
A1762618310_7840,fuzz,1762618310.034,1762618311.034
A1762618317_83,spoof,1762618317.579,1762618322.579
A1762621420_1031,spoof,1762621420.469,1762621425.469
A1762621427_1524,spoof,1762621427.612,1762621430.612
A1762621447_6594,fuzz,1762621447.047,1762621448.047
A1762622212_6155,spoof,1762622212.128,1762622214.128
A1762622228_1471,fuzz,1762622228.063,1762622233.063
A1762622243_2249,spoof,1762622243.895,1762622247.895
A1762622253_5676,spoof,1762622253.953,1762622254.953
A1762623046_7610,spoof,1762623046.896,1762623047.896
A1762623090_8904,spoof,1762623090.241,1762623094.241
A1762623389_9117,spoof,1762623389.808,1762623393.808
A1762623400_1409,fuzz,1762623400.041,1762623405.041
A1762623616_3087,spoof,1762623616.578,1762623620.578
A1762623661_5168,fuzz,1762623661.165,1762623664.165
A1762623652_9182,fuzz,1762623652.008,1762623656.008
A1762623670_6865,spoof,1762623670.011,1762623672.011
A1762623685_1009,spoof,1762623685.062,1762623688.062
A1762624272_897,spoof,1762624272.246,1762624273.246
A1762624317_8999,fuzz,1762624317.206,1762624322.206
A1762624308_8498,spoof,1762624308.872,1762624311.872
A1762624325_3244,spoof,1762624325.992,1762624330.992
A1762624347_8094,fuzz,1762624347.933,1762624348.933
A1762625448_6654,fuzz,1762625448.659,1762625449.659
A1762625458_2670,fuzz,1762625458.083,1762625463.083
A1762625479_4377,spoof,1762625479.795,1762625484.795
A1762625491_1481,fuzz,1762625491.706,1762625495.706
A1762625508_8682,spoof,1762625508.831,1762625511.831
A1762625521_2482,fuzz,1762625521.095,1762625523.095
A1762625968_317,spoof,1762625968.852,1762625973.852
A1762626079_4075,spoof,1762626079.762,1762626082.762
A1762626089_746,spoof,1762626089.057,1762626090.057
A1762626100_4486,fuzz,1762626100.017,1762626103.017
A1762626120_1392,spoof,1762626120.783,1762626125.783
A1762626134_1410,spoof,1762626134.868,1762626139.868
A1762626534_1587,fuzz,1762626534.881,1762626539.881
A1762626606_7591,fuzz,1762626607.001,1762626610.001
A1762626645_3211,fuzz,1762626645.647,1762626650.647
A1762626634_6101,fuzz,1762626634.544,1762626635.544
A1762626646_91,spoof,1762626646.090,1762626651.090
A1762626666_2700,fuzz,1762626666.530,1762626671.530
A1762626684_8895,fuzz,1762626684.597,1762626688.597
A1762626968_101,spoof,1762626968.237,1762626971.237
A1762626978_590,spoof,1762626978.082,1762626983.082
A1762626993_5612,spoof,1762626993.033,1762626998.033
A1762627026_9206,spoof,1762627026.246,1762627029.246
A1762627022_7238,spoof,1762627022.155,1762627023.155
A1762627028_2115,spoof,1762627028.091,1762627032.091
A1762627071_5654,fuzz,1762627071.302,1762627074.302
A1762627193_9541,fuzz,1762627193.939,1762627194.939
A1762627209_2884,spoof,1762627209.070,1762627213.070
A1762627216_4711,spoof,1762627216.417,1762627217.417
A1762627222_2234,spoof,1762627222.067,1762627227.067
A1762627355_7570,spoof,1762627355.520,1762627358.520
A1762627370_6738,spoof,1762627370.080,1762627375.080
A1762627383_6255,spoof,1762627383.652,1762627387.652
A1762627403_489,fuzz,1762627403.693,1762627405.693
A1762627436_7430,spoof,1762627436.885,1762627441.885
A1762661186_50,spoof_forward,1762661186.352788,1762661216.247460
A1762661195_7223,spoof_forward,1762661195.665082,1762661226.269961
A1762661996_8681,spoof_forward,1762661996.349449,1762662027.493189
A1762662006_2338,spoof_forward,1762662006.923917,1762662037.521504
A1762662124_8079,spoof_forward,1762662124.887167,1762662129.003682
A1762662137_976,spoof_forward,1762662137.008379,1762662167.696676
A1762662672_3542,spoof_brake,1762662672.186130,1762662703.524208
A1762662682_8521,spoof_brake,1762662682.962103,1762662713.537145
