timestamp,type,detail
1781098092.320328,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.356762,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.387915,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.472566,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.489329,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.541186,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.650725,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.731812,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.785481,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.799487,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.865069,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.903978,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.924982,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.954868,FSA,[FSA] Rule violation: Conflict->Conflict
1781098092.979949,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.009111,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.035758,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.062205,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.100639,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.122010,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.179269,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.219994,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.245064,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.273810,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.291836,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.311007,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.311007,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.353391,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.353391,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.414931,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.414931,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.414931,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.450635,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.450635,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.450635,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.480447,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.480447,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.480447,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.526691,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.43763619661331177, IDS2=0.22193576395511627)"
1781098093.526691,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.526691,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.526691,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.547039,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44321122765541077, IDS2=0.22193576395511627)"
1781098093.547039,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.547039,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.547039,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.594835,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.43512439727783203, IDS2=0.22193576395511627)"
1781098093.594835,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.594835,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.594835,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.652454,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.438911497592926, IDS2=0.22193576395511627)"
1781098093.652454,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.652454,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.652454,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.688393,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.4446810185909271, IDS2=0.22193576395511627)"
1781098093.688393,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.688393,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.688393,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.705473,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.44337019324302673, IDS2=0.22193576395511627)"
1781098093.705473,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.705473,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.705473,FSA,[FSA] Rule violation: Conflict->Conflict
1781098093.791739,JanetMLIDS,"[JanetMLIDS] Attack detected (reason=ids1_threshold, IDS1=0.43177953362464905, IDS2=0.22193576395511627)"
1781098093.791739,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
1781098093.791739,KL,[KL] distribution change detected: KL=2.806 > 2.0
1781098093.791739,FSA,[FSA] Rule violation: Conflict->Conflict
